N,P,K,temperature,humidity,ph,rainfall,label
124,19,40,38.0,78,4.6,227,Groundnut
64,40,60,24.5,78,7.4,143,Cotton
86,68,13,26.2,34,6.1,173,Millet
86,54,66,17.5,79,4.9,210,Maize
57,88,90,19.7,30,5.6,226,Wheat
52,85,64,34.0,41,8.3,153,Cotton
133,87,91,27.7,56,4.8,237,Sugarcane
101,50,41,29.8,79,7.1,118,Cotton
109,69,43,25.8,77,8.2,295,Millet
57,17,71,24.0,44,8.3,190,Rice
111,47,85,22.3,79,6.2,209,Rice
85,38,48,24.7,42,6.3,272,Sunflower
56,32,57,24.5,75,6.4,164,Maize
62,27,14,37.2,35,8.3,243,Millet
136,26,49,31.9,47,5.4,266,Millet
79,53,61,21.8,30,7.8,288,Wheat
94,38,84,20.0,46,7.7,168,Barley
133,99,87,24.9,81,6.8,101,Sugarcane
68,78,73,18.8,53,5.8,148,Wheat
104,88,14,21.5,78,8.0,148,Maize
123,29,39,19.4,57,4.6,194,Soybean
121,20,38,32.3,83,5.3,139,Barley
59,27,82,34.6,47,4.7,102,Cotton
85,25,19,36.8,66,5.8,176,Sugarcane
82,39,83,34.5,65,6.1,296,Cotton
147,90,43,16.4,48,7.4,161,Sugarcane
121,38,70,25.9,76,8.2,292,Soybean
88,20,71,33.4,35,7.8,193,Cotton
141,67,53,22.1,43,7.0,285,Rice
106,37,41,20.2,48,7.2,206,Barley
97,71,61,21.2,49,8.3,121,Cotton
141,79,97,30.9,51,7.0,291,Rice
62,47,95,24.1,38,7.0,233,Groundnut
119,45,100,26.0,88,6.2,272,Rice
102,44,66,18.8,39,6.2,142,Soybean
58,43,99,37.6,89,5.7,128,Cotton
101,89,95,15.0,61,6.5,211,Rice
137,11,46,39.7,51,8.0,200,Cotton
76,61,17,15.1,30,7.3,185,Wheat
121,25,77,23.3,32,7.7,163,Millet
130,40,79,16.9,52,4.8,270,Groundnut
130,73,72,18.2,43,6.0,256,Rice
121,34,12,28.4,69,6.6,157,Soybean
140,66,22,37.8,58,7.9,193,Cotton
102,58,60,39.2,34,4.5,274,Millet
127,44,43,39.1,75,7.8,244,Soybean
52,62,80,29.0,64,6.1,132,Wheat
75,52,22,27.8,65,6.2,109,Wheat
135,13,64,24.2,62,6.8,194,Rice
118,43,79,17.5,36,6.5,294,Rice
129,21,10,15.2,32,5.9,271,Maize
137,26,23,21.5,43,7.4,277,Groundnut
58,86,95,16.9,33,5.6,291,Wheat
96,65,16,32.6,70,8.2,200,Sugarcane
91,49,41,27.0,82,4.6,298,Maize
68,96,86,29.2,39,6.2,171,Wheat
148,22,82,27.1,79,4.5,267,Barley
126,80,77,28.6,65,7.0,288,Rice
111,54,98,26.8,31,7.8,101,Millet
106,38,37,39.7,86,6.7,184,Sugarcane
78,56,21,30.4,78,7.2,120,Soybean
89,99,86,17.0,88,4.5,186,Sugarcane
57,93,77,40.0,72,6.1,226,Cotton
131,71,63,30.3,73,7.0,215,Rice
69,36,21,19.8,33,7.3,233,Soybean
60,25,83,34.6,84,5.4,271,Cotton
83,10,76,38.0,83,5.6,179,Cotton
53,93,28,33.7,59,5.7,148,Rice
89,68,11,33.4,59,6.6,111,Sugarcane
106,63,77,18.8,50,5.3,252,Cotton
65,88,86,21.4,67,6.6,191,Wheat
104,70,20,35.1,74,7.5,115,Cotton
143,44,52,20.9,71,8.3,251,Cotton
77,29,90,33.2,34,7.3,219,Cotton
104,59,67,22.9,84,7.6,117,Rice
62,23,34,24.2,64,6.2,160,Sugarcane
110,39,15,38.1,41,5.5,164,Millet
86,93,64,37.7,80,6.3,288,Cotton
52,59,24,35.7,62,6.2,283,Maize
87,79,74,18.2,32,7.1,289,Sugarcane
65,66,21,16.2,71,5.1,193,Wheat
109,57,76,32.5,75,6.8,231,Rice
61,99,30,28.7,74,5.9,193,Wheat
97,44,33,24.6,46,5.9,144,Maize
91,56,99,39.6,53,8.3,176,Cotton
120,41,42,27.4,43,6.2,272,Rice
100,98,32,38.7,62,5.3,222,Sugarcane
109,22,60,38.1,32,6.1,140,Millet
53,60,42,21.2,43,5.4,275,Wheat
58,11,23,35.3,41,8.4,291,Millet
134,66,12,22.7,35,5.1,286,Cotton
122,66,49,29.4,76,8.2,146,Sunflower
95,50,12,24.8,74,6.3,223,Sugarcane
100,71,28,23.3,81,6.3,271,Sugarcane
148,29,17,29.8,47,7.0,156,Millet
50,90,50,30.7,86,7.5,141,Wheat
63,73,26,34.3,36,7.3,183,Sugarcane
111,38,33,22.7,89,5.0,186,Rice
147,61,20,23.6,35,4.5,143,Maize
136,50,93,23.1,86,6.0,210,Rice
109,66,92,27.3,37,4.7,114,Millet
98,99,34,19.6,82,5.6,176,Sugarcane
61,55,24,39.4,58,5.0,127,Sunflower
70,75,55,31.8,81,5.6,244,Sugarcane
92,53,50,28.1,48,4.7,169,Millet
53,13,75,24.9,84,5.8,293,Soybean
89,48,62,34.3,71,7.2,298,Cotton
67,49,79,30.3,41,5.5,233,Cotton
128,30,12,21.0,83,6.5,249,Rice
146,85,100,33.3,73,7.0,241,Rice
63,76,18,18.5,76,6.9,250,Wheat
93,90,68,18.1,79,8.3,150,Millet
134,49,37,32.5,54,4.5,209,Groundnut
131,70,37,34.2,88,8.1,221,Wheat
120,38,67,15.9,67,8.0,191,Groundnut
116,94,71,36.9,57,5.1,251,Cotton
140,94,57,21.9,79,6.0,258,Rice
67,31,35,16.3,83,5.2,220,Rice
64,80,74,17.6,71,8.5,241,Wheat
58,92,19,29.2,71,5.5,206,Wheat
111,34,59,23.2,43,5.5,277,Groundnut
122,87,14,37.9,75,7.7,268,Sugarcane
146,63,96,27.2,38,8.4,103,Millet
103,76,38,33.3,59,7.6,280,Sugarcane
133,38,59,23.1,55,6.2,181,Barley
86,40,31,26.1,30,7.8,226,Millet
125,50,13,21.0,65,6.8,277,Rice
98,72,47,30.9,74,7.2,246,Sugarcane
143,50,23,23.3,61,6.2,173,Cotton
106,13,18,29.9,63,5.9,246,Cotton
104,62,42,20.0,44,7.2,203,Rice
140,96,15,22.6,41,5.1,290,Sugarcane
79,78,66,32.6,70,7.0,294,Cotton
66,43,29,36.8,46,7.4,240,Millet
51,88,41,31.9,60,5.3,225,Sugarcane
79,70,27,27.5,58,4.6,191,Wheat
116,100,91,32.5,62,6.6,201,Rice
88,56,79,28.2,64,4.8,137,Groundnut
110,31,90,16.0,30,7.6,293,Sunflower
117,38,48,23.4,64,6.8,119,Sugarcane
119,98,59,30.1,58,5.7,104,Cotton
131,88,73,26.1,78,7.8,143,Sugarcane
67,97,75,15.7,68,6.6,255,Wheat
92,24,59,19.6,62,5.0,264,Wheat
64,97,60,28.9,89,7.7,244,Wheat
142,20,18,18.8,47,5.5,197,Groundnut
50,73,75,29.0,47,6.1,180,Wheat
114,52,31,24.5,43,6.1,297,Rice
96,30,76,20.6,37,6.4,177,Maize
68,77,66,16.4,75,8.0,260,Wheat
74,95,37,22.3,74,5.0,111,Wheat
106,81,67,21.1,66,7.7,287,Sugarcane
147,20,22,26.3,64,4.5,239,Maize
99,51,92,31.9,46,5.7,286,Cotton
129,40,40,28.9,41,5.3,264,Millet
149,44,69,38.0,87,4.7,132,Cotton
101,31,93,30.5,65,7.6,206,Cotton
132,49,96,33.9,35,8.4,232,Cotton
135,86,98,36.9,88,6.2,137,Cotton
78,96,75,37.7,80,6.7,257,Cotton
78,67,40,28.7,61,7.7,235,Wheat
52,87,55,17.4,43,6.6,286,Wheat
128,65,15,27.2,78,4.8,275,Groundnut
131,48,50,16.9,65,8.3,300,Soybean
143,14,65,35.8,82,7.4,142,Cotton
69,29,42,19.1,87,7.1,204,Cotton
130,81,33,30.7,90,6.8,214,Rice
137,99,84,23.6,79,5.4,205,Sugarcane
76,41,28,16.2,71,7.7,106,Maize
144,33,77,16.1,39,5.2,154,Sunflower
127,80,69,25.5,39,8.3,227,Sugarcane
119,13,25,18.4,49,5.0,209,Groundnut
89,16,62,17.6,78,7.3,258,Groundnut
119,21,80,37.4,31,4.7,256,Cotton
54,29,16,30.5,44,7.6,123,Millet
145,68,93,30.6,47,4.5,120,Cotton
82,76,93,18.6,77,5.9,216,Sugarcane
69,19,40,38.2,83,7.2,103,Soybean
52,43,70,20.8,70,5.2,248,Barley
128,38,43,18.0,85,4.7,246,Barley
150,30,56,31.4,45,5.4,267,Millet
81,94,84,34.8,72,5.6,295,Cotton
58,75,40,35.5,65,4.8,253,Sugarcane
113,84,80,37.5,65,6.9,276,Rice
129,65,59,26.6,78,6.3,283,Rice
139,61,22,36.7,50,7.2,143,Rice
59,42,37,35.9,49,6.2,271,Millet
50,58,96,18.2,40,6.5,262,Wheat
64,52,22,16.2,35,4.9,126,Wheat
110,49,19,17.0,78,7.8,232,Millet
143,20,26,25.5,56,6.4,287,Rice
144,75,18,34.0,36,8.2,184,Sugarcane
83,97,40,36.6,77,5.5,257,Sugarcane
59,13,47,27.5,55,8.0,243,Cotton
143,63,84,27.6,71,4.5,272,Cotton
68,84,55,38.9,32,8.5,111,Millet
54,57,23,15.1,79,7.5,130,Wheat
51,44,97,22.5,88,6.0,114,Millet
98,38,42,38.5,73,8.0,287,Barley
150,56,95,17.9,81,6.7,122,Rice
88,25,84,31.6,52,4.8,209,Cotton
148,67,23,15.1,50,4.6,241,Millet
146,87,75,27.3,32,6.3,276,Rice
59,80,79,25.3,79,6.3,214,Wheat
117,56,50,23.8,49,6.1,169,Millet
71,84,71,28.7,30,6.3,172,Wheat
137,57,86,29.6,41,5.2,225,Millet
141,36,75,33.5,40,5.5,139,Cotton
126,21,96,17.3,69,8.1,202,Maize
56,82,70,20.1,37,5.0,169,Wheat
111,78,26,27.4,32,7.9,210,Sugarcane
124,28,22,27.0,47,6.1,226,Rice
135,68,12,33.5,67,6.9,261,Rice
78,66,22,37.4,79,8.0,238,Soybean
82,84,60,34.6,66,8.1,297,Sugarcane
82,42,79,23.1,85,7.0,119,Sunflower
82,39,95,22.1,43,6.8,220,Cotton
120,17,19,18.2,31,5.9,290,Maize
102,61,97,16.1,46,6.7,156,Sugarcane
103,34,34,34.5,90,7.2,240,Millet
119,53,16,28.2,63,6.3,214,Rice
74,75,63,18.0,49,5.9,288,Wheat
55,32,94,33.8,36,5.9,223,Cotton
118,25,96,22.6,64,5.5,222,Soybean
124,30,47,19.3,47,7.0,186,Groundnut
133,88,37,25.2,60,6.9,279,Rice
128,34,66,33.0,57,8.2,273,Cotton
86,68,29,34.4,55,5.5,223,Barley
55,39,31,34.9,79,7.6,183,Groundnut
109,81,40,31.6,36,8.0,178,Sugarcane
117,38,29,36.9,80,8.1,282,Soybean
99,18,94,21.7,63,8.2,218,Maize
76,70,60,34.3,46,6.2,181,Millet
100,54,90,15.3,47,5.7,273,Sunflower
119,63,79,23.3,81,7.1,186,Soybean
134,11,79,39.7,69,5.6,110,Cotton
52,89,59,23.3,48,6.7,174,Wheat
138,16,14,37.3,49,6.3,239,Rice
142,84,21,22.2,88,8.2,135,Groundnut
72,72,59,17.6,54,7.1,270,Wheat
139,93,30,23.4,32,5.8,281,Sugarcane
97,86,13,27.5,88,6.7,292,Sugarcane
140,91,15,31.5,45,7.2,239,Sugarcane
106,72,70,17.9,85,7.9,147,Wheat
147,40,67,28.2,33,5.3,119,Millet
54,22,32,35.1,87,4.5,258,Cotton
54,15,53,17.6,34,6.2,218,Sugarcane
68,80,42,22.4,60,5.4,173,Wheat
117,49,26,20.7,46,7.0,236,Rice
142,91,29,24.5,63,6.1,292,Rice
112,10,34,15.6,61,6.0,247,Rice
78,55,50,34.1,57,6.5,121,Cotton
130,67,81,28.1,79,8.0,106,Wheat
105,25,98,15.3,39,6.0,171,Sugarcane
86,57,38,24.4,66,7.7,244,Soybean
147,56,17,19.9,40,7.4,130,Sugarcane
130,43,18,33.8,53,5.9,176,Sunflower
65,74,21,20.4,77,4.5,163,Wheat
111,93,72,31.0,71,6.9,295,Rice
101,77,12,33.8,66,5.3,236,Sugarcane
66,19,47,37.1,53,4.9,239,Barley
59,33,80,23.5,43,5.5,110,Wheat
73,90,78,39.7,73,5.5,110,Cotton
118,97,67,23.6,39,8.3,300,Sugarcane
149,31,76,20.4,30,5.5,174,Sunflower
71,87,26,23.7,76,4.9,145,Wheat
138,86,93,31.2,60,7.4,102,Cotton
57,79,51,38.2,73,6.4,256,Sugarcane
82,93,46,15.5,84,6.5,159,Sugarcane
54,21,40,17.1,69,6.7,256,Wheat
145,19,22,25.3,78,4.8,207,Cotton
130,44,74,24.8,73,4.6,144,Cotton
124,96,44,17.3,83,6.0,232,Rice
141,69,28,33.1,60,5.9,238,Barley
95,42,15,17.1,56,7.4,122,Soybean
107,92,68,18.8,53,6.3,247,Rice
92,29,13,28.3,73,5.9,290,Rice
65,50,20,34.3,54,5.6,136,Cotton
66,65,93,26.8,78,7.6,108,Wheat
115,79,12,27.0,43,5.6,243,Sugarcane
64,35,57,37.8,62,5.0,107,Sunflower
85,41,66,22.8,86,7.5,270,Wheat
97,87,80,32.9,87,6.7,197,Cotton
113,16,14,38.6,30,7.7,292,Millet
113,33,24,26.6,35,8.4,296,Millet
87,59,49,35.0,56,5.0,168,Cotton
73,59,97,19.1,42,5.0,119,Wheat
112,39,74,16.8,82,6.4,153,Sunflower
67,38,43,23.0,73,5.8,258,Barley
94,71,96,26.6,50,6.5,298,Sugarcane
75,60,73,30.0,49,5.4,141,Millet
89,45,83,18.3,42,7.0,118,Millet
64,70,50,23.4,44,5.0,142,Wheat
142,49,14,23.3,43,4.5,237,Soybean
68,62,28,33.8,68,6.5,283,Wheat
118,10,100,35.8,40,7.0,172,Cotton
51,93,51,16.7,53,5.1,278,Wheat
78,50,86,33.1,36,4.5,215,Cotton
55,74,20,29.0,45,4.9,236,Wheat
92,12,90,32.3,40,5.7,114,Cotton
91,36,15,34.2,39,5.5,212,Millet
136,74,18,34.5,85,8.4,201,Sugarcane
72,23,50,22.7,31,4.8,104,Wheat
75,76,100,22.2,34,6.3,264,Wheat
92,36,87,26.0,85,7.6,234,Soybean
119,35,56,30.1,81,7.0,299,Rice
120,99,54,34.0,46,7.9,284,Sugarcane
118,39,66,38.5,32,7.6,168,Cotton
108,57,17,28.5,74,6.3,197,Cotton
103,38,74,21.3,57,5.3,186,Soybean
89,71,27,40.0,85,6.4,138,Soybean
122,64,39,22.7,58,5.0,209,Barley
67,58,89,36.8,59,4.6,103,Cotton
94,47,74,24.0,68,5.9,223,Rice
109,29,85,33.4,34,6.4,165,Cotton
122,56,50,19.0,77,5.5,139,Barley
119,53,52,22.6,75,5.1,106,Maize
108,41,62,38.2,32,7.6,259,Cotton
112,35,77,30.1,88,8.4,162,Cotton
58,25,66,38.6,53,8.0,298,Cotton
143,18,79,32.5,37,7.1,291,Cotton
114,87,91,21.7,88,8.3,173,Sugarcane
118,66,58,16.7,56,6.8,237,Rice
116,46,81,29.2,49,6.1,105,Millet
135,88,45,15.1,54,5.0,243,Sugarcane
141,91,51,17.8,66,4.9,160,Sugarcane
87,59,48,22.6,55,5.9,281,Millet
116,59,54,35.0,51,6.8,132,Groundnut
59,38,19,23.1,41,4.7,127,Millet
67,36,73,23.6,70,7.6,128,Maize
58,51,89,33.1,32,7.1,283,Cotton
65,18,64,37.5,58,7.6,115,Cotton
101,29,79,19.7,65,5.2,190,Groundnut
132,83,60,29.9,46,6.8,205,Rice
81,82,47,38.4,59,7.1,290,Sugarcane
125,25,93,18.0,55,6.0,204,Rice
116,91,77,23.2,76,6.3,257,Rice
115,64,18,26.9,69,5.3,160,Sugarcane
139,56,39,39.3,34,6.8,179,Millet
99,35,30,27.2,77,6.6,178,Sunflower
138,75,44,21.5,59,6.8,148,Sunflower
77,98,58,17.4,51,7.2,176,Wheat
121,46,22,16.5,45,8.2,211,Cotton
60,38,72,19.3,84,7.6,129,Sunflower
137,27,36,25.1,65,7.6,154,Barley
148,39,69,36.3,39,5.0,295,Cotton
148,70,39,36.6,56,8.4,209,Millet
138,42,58,15.4,45,6.6,153,Groundnut
59,67,47,30.8,61,5.4,222,Sunflower
95,74,94,15.3,37,7.4,117,Groundnut
101,80,65,18.7,58,7.3,296,Sugarcane
71,73,73,37.2,86,8.3,248,Cotton
97,99,72,16.3,34,5.9,288,Sugarcane
78,70,74,15.7,59,4.7,100,Wheat
65,67,58,23.4,44,4.8,117,Wheat
73,46,72,33.7,83,5.8,100,Cotton
103,49,94,28.1,83,5.4,141,Sunflower
140,21,32,27.1,75,6.4,139,Wheat
147,64,59,29.6,51,7.1,103,Wheat
56,100,29,18.2,87,8.2,257,Wheat
84,20,84,20.5,67,6.3,277,Rice
68,97,41,17.8,36,5.3,279,Wheat
130,90,23,18.3,88,6.8,208,Rice
143,90,51,26.0,65,7.6,175,Sugarcane
137,61,46,19.9,54,7.2,149,Barley
75,70,72,18.1,58,5.4,294,Wheat
66,70,89,29.2,82,5.8,155,Wheat
54,40,28,32.3,54,6.1,290,Cotton
114,28,19,20.5,36,5.6,156,Sugarcane
128,82,41,33.9,51,5.7,292,Sugarcane
105,10,36,35.6,38,6.8,173,Millet
118,37,60,37.1,66,6.8,225,Rice
94,82,69,28.4,76,6.3,122,Soybean
148,52,65,30.5,75,5.9,163,Cotton
145,16,51,29.8,70,7.9,202,Groundnut
95,47,73,16.9,44,7.8,244,Maize
112,35,100,20.7,84,7.3,295,Maize
51,30,72,30.0,57,7.4,257,Groundnut
64,80,75,16.0,60,5.0,161,Wheat
125,42,91,32.7,84,7.2,240,Cotton
78,16,49,33.8,75,4.9,235,Millet
89,26,87,31.3,35,5.2,121,Cotton
103,53,47,21.2,37,7.6,259,Soybean
99,34,75,38.3,53,7.4,223,Cotton
90,93,69,32.5,69,6.5,164,Cotton
106,31,51,30.9,89,5.3,214,Rice
121,65,91,38.7,74,6.1,111,Cotton
130,80,75,20.3,84,5.7,211,Sugarcane
115,75,21,21.1,78,4.7,171,Sugarcane
64,48,66,26.8,60,5.1,114,Barley
105,40,70,39.9,36,7.9,243,Cotton
94,10,43,36.2,75,7.7,136,Sugarcane
110,53,18,35.9,79,7.7,186,Soybean
72,39,72,25.4,58,7.9,115,Maize
52,98,84,19.4,77,7.9,178,Wheat
126,51,97,39.4,46,6.7,100,Cotton
84,61,48,30.8,83,8.3,233,Cotton
82,17,59,27.7,68,7.2,120,Sunflower
117,91,33,18.7,30,4.5,124,Groundnut
55,96,11,35.2,55,7.3,134,Cotton
85,83,24,25.4,77,8.0,232,Sugarcane
136,49,28,28.5,42,8.1,131,Millet
68,91,29,21.0,31,6.9,243,Wheat
137,40,64,24.3,61,6.5,139,Maize
63,86,97,27.6,47,4.9,249,Wheat
83,38,81,34.6,37,7.7,152,Cotton
69,38,61,27.3,41,6.1,231,Millet
82,16,38,32.1,52,5.0,210,Wheat
116,100,82,39.6,90,4.8,136,Cotton
122,21,81,38.3,63,7.7,268,Cotton
60,23,22,20.9,44,7.1,232,Sunflower
56,59,64,17.6,38,7.4,276,Wheat
98,40,68,37.6,85,6.4,262,Cotton
65,98,77,34.8,75,7.6,112,Cotton
104,50,30,36.7,77,5.3,128,Sugarcane
138,80,93,21.0,31,8.4,131,Wheat
88,43,53,36.6,35,7.7,190,Millet
115,46,17,21.3,53,6.2,209,Rice
78,62,42,35.8,85,7.4,191,Groundnut
61,20,34,39.6,66,8.0,131,Cotton
140,19,90,18.0,42,6.6,198,Millet
106,53,91,32.1,47,6.4,299,Rice
50,70,38,34.4,72,5.9,285,Groundnut
109,43,66,15.2,56,6.8,120,Millet
103,16,78,26.6,69,6.6,221,Rice
53,91,40,17.0,74,6.2,195,Wheat
122,55,77,27.4,55,8.4,246,Barley
133,67,76,34.2,63,6.3,279,Rice
115,42,70,37.9,34,5.2,159,Cotton
94,38,75,33.4,36,7.3,168,Cotton
94,24,28,26.4,44,8.3,282,Millet
94,82,11,17.6,86,5.2,162,Sugarcane
128,89,11,30.1,62,6.0,179,Sugarcane
113,23,21,26.9,38,6.4,181,Millet
79,13,44,39.7,76,8.2,176,Sunflower
108,70,60,25.4,38,8.5,132,Millet
119,48,34,22.0,62,6.5,159,Cotton
70,54,69,35.3,49,6.9,136,Cotton
60,55,57,35.5,75,4.5,182,Soybean
50,60,60,34.2,36,6.8,223,Millet
109,14,64,16.5,43,8.1,114,Wheat
76,33,74,26.4,43,5.1,171,Millet
134,57,87,15.5,42,5.2,111,Soybean
82,69,87,26.4,63,8.2,273,Sunflower
129,10,100,20.4,52,7.6,228,Cotton
126,25,39,39.4,79,5.2,281,Sunflower
117,32,16,22.6,72,5.7,235,Sugarcane
135,93,88,39.2,38,7.8,153,Cotton
98,90,47,39.9,48,6.6,231,Sugarcane
66,15,11,20.2,33,6.1,170,Sugarcane
56,84,35,34.8,83,4.7,187,Sugarcane
50,24,58,18.0,57,6.7,137,Groundnut
142,26,93,23.4,84,7.4,102,Maize
56,39,11,28.1,75,7.5,233,Maize
140,20,73,37.0,72,7.6,269,Cotton
134,26,72,38.1,40,5.9,216,Cotton
113,46,64,20.4,71,4.8,187,Groundnut
83,76,36,37.5,77,6.2,194,Sugarcane
103,28,92,31.1,73,8.1,161,Cotton
117,61,76,19.7,42,6.6,231,Rice
142,67,68,24.4,87,4.8,145,Soybean
76,95,33,19.2,70,6.0,270,Wheat
109,76,45,27.1,40,7.9,117,Millet
105,59,56,35.0,39,4.9,190,Millet
105,13,72,20.5,39,6.3,135,Millet
110,65,75,16.9,63,7.4,190,Sunflower
122,31,32,31.2,44,7.9,135,Millet
101,97,52,26.9,65,6.6,176,Sugarcane
143,75,74,22.2,66,4.9,271,Sugarcane
54,91,95,15.5,70,5.8,230,Wheat
85,100,67,23.4,34,7.6,133,Soybean
126,61,59,36.4,32,5.7,262,Millet
91,64,61,38.7,47,8.0,156,Cotton
109,14,42,37.1,55,8.5,159,Millet
110,48,47,29.1,52,7.4,163,Barley
53,37,60,25.3,49,6.6,299,Millet
82,23,39,38.8,31,6.8,260,Millet
115,30,93,30.0,56,5.5,264,Wheat
